seq,time,sell_pair,sell_pair_volume,buy_pair,buy_pair_volume
1878,00:21:55:500,[540],[4000],[600],[2000]
1879,00:21:56:000,[550],[1000],[600],[2000]
1880,00:21:56:500,[550],[1000],[600],[2000]
1881,00:21:57:500,[550],[1000],[600],[2000]
1882,00:21:58:500,[550],[1000],[609],[5000]
1883,00:21:59:000,[550],[6000],[609],[2000]
1884,00:21:59:500,[550],[1000],[620],[26000]
1885,00:22:00:500,[550],[4000],[609],[1000]
1886,00:22:01:500,[550],[4000],[609],[1000]
1887,00:22:02:000,[550],[4000],[609],[1000]
1888,00:22:02:500,[550],[4000],[609],[1000]
1889,00:22:03:000,[550],[4000],[609],[1000]
1890,00:22:04:000,[559],[3000],[609],[1000]
1891,00:22:04:500,[550],[4000],[620],[26000]
1892,00:22:05:000,[550],[4000],[610],[26000]
1893,00:22:05:500,[550],[4000],[600],[26000]
1894,00:22:06:000,[550],[4000],[600],[26000]
1895,00:22:06:500,[550],[4000],[589],[3000]
1896,00:22:07:000,[550],[1000],[589],[1000]
1897,00:22:08:000,[540],[4000],[589],[8000]
1898,00:22:08:500,[550],[1000],[589],[8000]
1899,00:22:09:000,[550],[1000],[589],[4000]
1900,00:22:09:500,[550],[1000],[589],[4000]
1901,00:22:10:000,[550],[1000],[589],[4000]
1902,00:22:10:500,[550],[1000],[589],[4000]
1903,00:22:11:500,[550],[1000],[600],[26000]
1904,00:22:12:500,[559],[1000],[600],[23000]
1905,00:22:13:500,[550],[1000],[600],[26000]
1906,00:22:14:000,[550],[1000],[600],[26000]
1907,00:22:15:000,[559],[1000],[600],[23000]
1908,00:22:15:500,[550],[1000],[589],[5000]
1909,00:22:17:000,[550],[1000],[589],[1000]
1910,00:22:17:500,[550],[1000],[589],[1000]
1911,00:22:20:500,[529],[2000],[590],[8000]
1912,00:22:21:000,[550],[1000],[590],[8000]
1913,00:22:21:500,[550],[1000],[590],[8000]
1914,00:22:22:000,[539],[1000],[590],[8000]
1915,00:22:22:500,[539],[1000],[580],[1000]
1916,00:22:23:000,[539],[4000],[580],[5000]
1917,00:22:23:500,[529],[1000],[590],[4000]
1918,00:22:24:000,[529],[1000],[590],[4000]
1919,00:22:24:500,[529],[1000],[590],[4000]
1920,00:22:26:500,[539],[1000],[600],[11000]
1921,00:22:27:000,[539],[1000],[600],[11000]
1922,00:22:28:000,[539],[1000],[600],[8000]
1923,00:22:28:500,[539],[1000],[600],[8000]
1924,00:22:29:000,[539],[1000],[600],[8000]
1925,00:22:30:000,[539],[1000],[600],[8000]
1926,00:22:30:500,[550],[1000],[600],[6000]
